name,repo_url,description,homepage,license,created,updated
ACHDSggTheme,https://github.com/will-ball/ACHDSggTheme,A package for easily adding a standardised ACHDS theme to ggplot2 plots in R,,GNU General Public License v3.0,2021-09-29T09:11:09Z,2022-02-04T10:08:32Z
AQRCxray,https://github.com/jgiacomo/AQRCxray,Helpful functions and ggplot2 themes for working with XRF data at CNL.,,,2019-03-05T21:19:15Z,2022-11-09T18:28:43Z
AlecWebsiteThmr,https://github.com/Alec-Stashevsky/AlecWebsiteThmr,Custom ggplot2 theme for my personal website,,Other,2021-08-22T20:19:40Z,2022-12-02T07:13:03Z
Alice-s_Adventures_in_Wonderland_Project,https://github.com/CodonWalker/Alice-s_Adventures_in_Wonderland_Project,The Project contains a brief analysis of similar authors on the theme of Alice's Adventures in Wonderland,,MIT License,2023-10-16T12:55:59Z,2023-10-16T15:46:13Z
BFHtheme,https://github.com/johanreventlow/BFHtheme,R package for Bispebjerg og Frederiksberg Hospital ggplot2 themes and branding,,Other,2025-10-13T22:07:02Z,2025-11-30T20:39:55Z
BSOLTheme,https://github.com/Birmingham-and-Solihull-ICS/BSOLTheme,"A repository with Rmarkdown, Quarto and ggplot2 stylings",https://birmingham-and-solihull-ics.github.io/BSOLTheme/,Other,2023-11-28T08:51:08Z,2025-08-15T06:58:57Z
BensThemes,https://github.com/benchaffe/BensThemes,A package for R that contains the custom themes I use for ggplot2,,MIT License,2021-02-13T16:59:18Z,2021-02-14T15:38:01Z
BicycleTheme2023,https://github.com/jdwells-bicycletx/BicycleTheme2023,Bicycle Colors (2023) for ggplot2 Figures,,,2023-03-17T14:30:19Z,2023-03-17T14:30:45Z
CGD-R-theme,https://github.com/zackgehan/CGD-R-theme,A ggplot2 theme for CGD graphs,,,2024-02-13T20:11:55Z,2024-02-13T20:28:57Z
CGDRtheme,https://github.com/Center-for-Global-Development/CGDRtheme,A ggplot2 theme applying CGD colors and graphic styles,,Other,2024-06-12T21:21:34Z,2025-09-28T04:07:28Z
CREG,https://github.com/nicoschoutteet/CREG,"Apply a custom, consistent theme to ggplot2 figures in line with CREG visual guide.",,,2022-11-21T10:11:14Z,2024-11-04T09:02:48Z
